DataZon,CIF,crime_rate,overcrowded_count,Employment_rate,DEPRESS,DRUG,Noquals,SMR,nocentralheat_rate,Clst_KM,BMU,hier_cluster
S01008809,0.049019607843137,0.099310856904193,0.181632653061225,0.094339622641509,0.149006511690176,0.114647130759990,0.095641342690489,0.023722627737226,0.256496974012104,4,16.000000000000000,1
S01008810,0.019607843137255,0.016606526209599,0.167346938775510,0.037735849056604,0.131986711955119,0.000000000000000,0.064271916377425,0.166058394160584,0.215809930757548,4,15.000000000000000,1
S01008811,0.049019607843137,0.058803209446198,0.316326530612245,0.056603773584906,0.108518938397033,0.017416378014892,0.181918315723548,0.071167883211679,0.256412590754945,4,16.000000000000000,1
S01008812,0.039215686274510,0.026266531651784,0.193877551020408,0.056603773584906,0.290486488749172,0.000000000000000,0.107925897074339,0.142335766423358,0.325361535071906,4,27.000000000000000,1
S01008813,0.215686274509804,0.045347309534237,0.457142857142857,0.301886792452830,0.432029249594550,0.310547078366545,0.430709128802739,0.144160583941606,0.243287562975403,2,65.000000000000000,4
S01008814,0.107843137254902,0.065377806326278,0.340816326530612,0.169811320754717,0.287721829266376,0.234203556353139,0.243017203637131,0.096715328467153,0.252753909317300,4,40.000000000000000,1
S01008815,0.166666666666667,0.061208082744546,0.565306122448980,0.226415094339623,0.344604898142692,0.061078072324587,0.314112138077348,0.151459854014599,0.359321752140304,1,43.000000000000000,1
S01008816,0.156862745098039,0.059659159777945,0.269387755102041,0.188679245283019,0.330356019068135,0.156399877102370,0.327262061235971,0.114963503649635,0.255204011688733,4,40.000000000000000,1
S01008817,0.215686274509804,0.082905747443094,0.381632653061225,0.245283018867925,0.405283581488020,0.096292711279478,0.360651552323644,0.251824817518248,0.239405314630050,2,64.000000000000000,1
S01008818,0.068627450980392,0.048906419284940,0.326530612244898,0.094339622641509,0.279851720966576,0.000000000000000,0.139361669970633,0.133211678832117,0.102057212416312,4,18.000000000000000,1
